PMNTN_SN,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_TM,PMNTN_RISK,PMNTN_RECO
21811,471905301,백운봉,금오산자연학습원민박촌입구구간,,1.03,1,31,급경사 1개소(할딱고개) 있으니 주의 필요함,
33814,471904601,순사이산,월림리구간,,1.04,1,31,,
17193,471105001,묘봉산,장성동구간,,1.02,1,31,,
55244,271401401,환성산,강학리구간,,1.02,1,31,,
51898,271401201,팔공산_비로봉,치산리구간,,0.85,1,31,,
52092,271401201,팔공산_비로봉,,,1.02,1,31,,
37751,477502101,연점산,,,1.03,1,31,,
52718,471705201,학가산,자품리구간,,1.02,1,31,,
44328,477601301,일월산,,,1.04,1,31,,
40170,471703701,용두산,매정리구간,,0.96,1,31,,
34932,471702401,아기산,,,1.02,1,31,,
31876,471705801,성곡산,,,1.03,1,31,,
26496,477600801,부용봉,신사리구간,,1.04,1,31,,
25461,472100701,봉수산,녹래리구간,,1.02,1,31,,
19684,477701901,바데산,흥기리구간,,0.86,1,31,,
19743,477701901,바데산,상직리구간,,1.04,1,31,,
10031,471100801,내연산,,,1.04,1,31,,
10079,471100801,내연산,,,1.03,1,31,,
33335,427703401,수리봉,,,1.04,1,31,,
22061,427708601,백운산,마하리구간,,1.03,1,31,,
11079,421900501,대덕산,,,1.03,1,31,,
466,431504101,가은산,상천리구간,,1.03,1,31,,
30261,282000401,상아산,장수동구간,어린이동물원,1.04,1,31,,
53330,415500104,한남지선,안양동구간,,1.04,1,31,,
33360,411700301,수리산,,,1.02,1,31,,
30874,113801404,서오릉,진관동구간,,1.02,1,31,정상의 서남족 바위벼랑 주변에는 난간이나 밧줄 필요,
27188,113050202,북한산_백운대,,,1.02,1,31,,
49660,412900401,청계산,,,0.86,1,31,,
49714,412900401,청계산,,,1.02,1,31,,
20898,416101601,백마산,,,1.03,1,31,,
20912,416101601,백마산,쌍동리구간,,0.96,1,31,,
18797,416101401,문형산,,,1.04,1,31,,
16545,412801601,명봉산,유산로구간,,1.02,1,31,,
54783,112300404,홍릉공원,상월곡동구간,,1.04,1,31,,
13019,113200102,도봉산_자운봉,도봉동구간,,1.03,1,31,,
13208,113200102,도봉산_자운봉,,,1.04,1,31,,
13271,113200102,도봉산_자운봉,,,1.02,1,31,,
27212,113050202,북한산_백운대,,,1.04,1,31,,
13208,113200102,도봉산_자운봉,,,1.04,1,31,,
13271,113200102,도봉산_자운봉,,,1.02,1,31,,
33137,113500201,수락산,,,1.02,1,31,,
33180,113500201,수락산,,,1.03,1,31,,
12898,416300501,도락산,방성리구간,,0.96,1,31,,
12931,416300501,도락산,,,1.02,1,31,,
54803,416302201,홍복산,녹양동구간,,1.03,1,31,,
26498,411500301,부용산,고산동구간,,0.85,1,31,,
48291,411500701,천보산,율정동구간,,1.03,1,31,,
47075,418303701,중원산,,,1.02,1,31,,
40744,418303201,우두산,상교리구간,,0.85,1,31,,
40745,418303201,우두산,상교리구간,,0.84,1,31,,
37182,418302701,양자산,,,1.02,1,31,,
32711,412500201,소요산,동두천동구간,,1.03,1,31,,
27974,418202201,불기산,두밀리구간,,0.96,1,31,,
16583,427800701,명성산,도평리구간,분기점-약사령,1.04,1,31,,
10837,416703701,당산,도전리구간,,1.02,1,31,,
16583,427800701,명성산,도평리구간,분기점-약사령,1.04,1,31,,
8353,427200801,금학산,,,1.03,1,31,,
16600,418201401,명지산,,,1.02,1,31,,
16601,418201401,명지산,,,1.04,1,31,,
14160,421101301,두리봉,,,1.03,1,31,,
8393,427200801,금학산,,,1.02,1,31,,
820,427803104,각흘산석이바위,자등리구간,,1.04,1,31,,
33323,421103101,수리봉,,,1.04,1,31,,
29307,427603101,삼방산,노론리구간,,1.04,1,31,,
26512,421102501,부용산,청평리구간,,1.02,1,31,,
4102,427200401,공작산,노천리구간,,1.02,1,31,,
29970,428306204,삽존리,삽존리구간,,0.96,1,31,,
10321,421501001,노추산,,,1.03,1,31,,
41493,479400103,울릉군숲길,저동리구간,,0.86,1,31,,
20015,421502901,밥봉,,,1.04,1,31,,
974,422300104,갈야산,마달동구간,,1.03,1,31,,
49596,469002101,첨찰산,,,1.05,1,32,,
49601,469002101,첨찰산,사천리구간,,0.75,1,32,,
45724,467702301,적대봉,,,1.06,1,32,,
45725,467702301,적대봉,오천리구간,,1.05,1,32,,
16317,468203501,매봉산,매월리구간,,0.77,1,32,,
14137,468201301,두륜산_가련봉,구림리구간,,1.09,1,32,,
11437,469100701,대봉산,상태서리구간,,1.06,1,32,,
9276,469000401,남망산,금갑리구간,,1.06,1,32,,
51702,491302904,토산봉,토산리구간,,1.07,1,32,,
38215,491303001,영천악,,,1.07,1,32,,
19611,491102103,바늘오름,교래리구간,,1.02,1,32,,
12600,491300404,도너리오름,금악리구간,,1.09,1,32,,
10496,491100304,다랑쉬오름,세화리구간,,1.09,1,32,,
3933,491301304,고이오름,한남리구간,,1.05,1,32,,
47792,468001701,천관산,연지리구간,,1.06,1,32,,
38907,467802301,오봉산,해평리구간,,1.08,1,32,,
38897,467801001,오봉산,,,1.08,1,32,,
37359,468001401,억불산,수양리구간,,1.07,1,32,,Y
30338,468300801,상은적산,신덕리구간,,1.09,1,32,,
28269,467703301,비봉산,도덕리구간,,1.02,1,32,,
26535,461100201,부주산,옥암동구간,,1.07,1,32,,
25458,468401801,봉수산,지산리구간,,1.06,1,32,,
24436,468401701,봉대산,,,1.09,1,32,,
25961,467800801,봉화산,옥평리구간,,1.05,1,32,,
14407,467700401,두방산,매곡리구간,,1.05,1,32,,
6675,468600301,군유산,,,1.06,1,32,,
285,461700101,가야산,동수농공단지구간,,1.02,1,32,,
51541,468802801,태청산,삼효리구간,,1.00,1,32,,
30592,467904501,서당산,대리3구-대리1구구간,,1.05,1,32,,
28271,467902201,비봉산,내리구간,능주향교 - 능선삼거리 - 정상 - 비봉산성 - 양복사,1.05,1,32,,
23034,468801301,병풍산,,,1.05,1,32,,
15777,467901201,만연산,동구리구간,,1.05,1,32,,
36379,467902501,안양산,,,1.09,1,32,,
45387,291102101,장원봉,지산동구간,,0.87,1,32,,
45397,291102101,장원봉,지산동구간,,1.09,1,32,,
40601,292000701,용진산,지산동구간,,0.87,1,32,,
21042,291400301,백석산,"죽동2길,향림사-금호동산,백석정구간",,1.05,1,32,부분적으로 산책로 폭 협소하며 낭떠러지 있음,
54227,461303501,현천뒷산,현천리구간,,1.05,1,32,,
50677,467202101,최악산,,,1.08,1,32,,
36706,461501801,앵무산,용전리구간,,1.09,1,32,,
31742,467201101,설산,운곡리구간,괘일산,1.06,1,32,,
25946,461303701,봉화산,장수리구간,,0.75,1,32,,
24539,461501301,봉두산,원달리구간,태안사,1.07,1,32,,
24540,461501301,봉두산,,,1.09,1,32,,
21062,467901901,백아산,,,1.06,1,32,,
14004,467200103,동악산둘레길,학정리구간,,1.08,1,32,,
7972,461503801,금전산,교촌리구간,,1.07,1,32,,
